con_id;titre;description;texte;directeur;producteur;csting;date_production;compagny_production;scenariste;langue_de_production;palmares;pays_de_produciton;content_url;date_debut_droits;date_fin_droits;image
3533389;Comme des reines;<p>Samia, Louise et Jessica ont entre 15 et 20 ans. Samia étouffe dans un carcan familial dans lequel elle ne se reconnaīt pas et cherche difficilement sa voie. Grisée par une illusion de liberté, par le sentiment d'appartenance ą une bande, mais, surtout, par l'argent facile, elle se laisse entraīner par Louise et son petit ami proxénčte dans un réseau de prostitution. Trčs vite, le pičge se referme sur elle et Samia n'ose plus revenir. Parviendra t-elle ą s'en sortir, ą saisir les quelques rares mains tendues qu'elle rencontre sur son chemin ? Trouvera-t-elle en elle la force nécessaire ą sa libération ?</p>;<p>Samia, Louise et Jessica ont entre 15 et 20 ans. Samia étouffe dans un carcan familial dans lequel elle ne se reconnaīt pas et cherche difficilement sa voie. Grisée par une illusion de liberté, par le sentiment d'appartenance ą une bande, mais, surtout, par l'argent facile, elle se laisse entraīner par Louise et son petit ami proxénčte dans un réseau de prostitution. Trčs vite, le pičge se referme sur elle et Samia n'ose plus revenir. Parviendra t-elle ą s'en sortir, ą saisir les quelques rares mains tendues qu'elle rencontre sur son chemin ? Trouvera-t-elle en elle la force nécessaire ą sa libération ?</p>;Marion Vernoux;NULL;Sarah Isabella, Nina Louise, Bintou Ba, Idir Azougli, Bernard Campan, Karole Rocher, Nathalie Richard, Emma Boulanouar;2022;Scarlett Production;Sandrine Gregor, Mélina Jochum;Franēais;;France;https://www.france.tv/france-2/comme-des-reines/3533389-comme-des-reines.html;2024-11-14 06:00:00;2025-08-31 23:59:00;https://medias.france.tv/DwksPNlLcWHvvwF_fGCECqRFPYk/1800x0/filters:quality(85):format(webp)/l/v/7/phpswq7vl.jpg
6798805;Aļlo : une odyssée en Laponie;Le combat pour la survie d'un petit renne sauvage, frźle et vulnérable face aux épreuves qui jalonnent sa premičre année. Son éveil au monde sauvage est un véritable conte au coeur des paysages grandioses de Laponie.;Le combat pour la survie d'un petit renne sauvage, frźle et vulnérable face aux épreuves qui jalonnent sa premičre année. Son éveil au monde sauvage est un véritable conte au coeur des paysages grandioses de Laponie.;Guillaume Maidatchevsky;NULL;;2018;NULL;;;;;https://www.france.tv/films/films-drame/6798805-ailo-une-odyssee-en-laponie.html;2025-01-02 06:00:00;2025-03-31 23:59:00;https://medias.france.tv/BPTCI4ks9jD_f2IzMB0EpouaK30/1800x0/filters:quality(85):format(webp)/x/c/t/phpfmmtcx.jpg
836091;Les Comancheros;En 1843, le joueur Paul Regret tue un homme en duel ą La Nouvelle-Orléans. Il prend la fuite vers le Texas, oł il rencontre une aventuričre, Pilar Graile. A Galveston, Regret est capturé par le capitaine de la police texane, Jake Cutter. Mais le prisonnier parvient ą assommer Cutter et s'évade. Le capitaine apprend par la bouche du major Henry que les Comancheros, de redoutables hors-la-loi, poussent les Comanches ą la guerre en les ravitaillant en armes et en alcool. Incités ą se révolter, les Comanches attaquent ainsi réguličrement les forces de police. Cutter se fait passer pour un certain McBain, soupēonné d'źtre complice des Comancheros, qui vient d'źtre arrźté, et infiltre la bande des malfrats en convoyant ą sa place un chariot plein d'armes...;En 1843, le joueur Paul Regret tue un homme en duel ą La Nouvelle-Orléans. Il prend la fuite vers le Texas, oł il rencontre une aventuričre, Pilar Graile. A Galveston, Regret est capturé par le capitaine de la police texane, Jake Cutter. Mais le prisonnier parvient ą assommer Cutter et s'évade. Le capitaine apprend par la bouche du major Henry que les Comancheros, de redoutables hors-la-loi, poussent les Comanches ą la guerre en les ravitaillant en armes et en alcool. Incités ą se révolter, les Comanches attaquent ainsi réguličrement les forces de police. Cutter se fait passer pour un certain McBain, soupēonné d'źtre complice des Comancheros, qui vient d'źtre arrźté, et infiltre la bande des malfrats en convoyant ą sa place un chariot plein d'armes...;Michael Curtiz ;James Edward Grant, Clair Huffaker;John Wayne, Stuart Whitman, Ina Balin;1961;NULL;NULL;NULL;NULL;NULL;https://www.france.tv/films/836091-les-comancheros.html;2025-01-02 06:00:00;2025-03-31 23:59:00;https://medias.france.tv/nmT_Gu8T0EtqnzlY--gj6-392i0/1800x0/filters:quality(85):format(webp)/4/8/9/aa06523460354127835f501d21b7a7c12390716943195cec4d8f7e197523c984.jpg
5365995;Cultes;<p>1970. Le petit Tonino est pensionnaire d;<p>1970. Le petit Tonino est pensionnaire d;David Padilla ;NULL;Calliste Dupin, Michaėl Vander-Meiren, Antony Cinturino;2023;NULL;;;;;https://www.france.tv/films/5365995-cultes.html;2025-01-08 06:00:00;2025-07-01 23:59:00;https://medias.france.tv/XCovHlo0AcmSuvy6VJ7alFz04Qo/1800x0/filters:quality(85):format(webp)/c/9/9/7d4e53ea7695491ebbc4210481a73090ba654f869d8f432d0b6aa22ea363899c.jpg
6821674;Boucan;"<p>Johannes et Gabin sont jeunes, sont cousins et sont amoureux l'un de l'autre: leur histoire se passe dans le Sud de la France.</p><p><br></p><p>Ce court métrage est nommé en 2025 au César du Meilleur film de court métrage de fiction.&nbsp;</p>";"<p>Johannes et Gabin sont jeunes, sont cousins et sont amoureux l'un de l'autre: leur histoire se passe dans le Sud de la France.</p><p><br></p><p>Ce court métrage est nommé en 2025 au César du Meilleur film de court métrage de fiction.&nbsp;</p>";Salomé Da Souza;Salomé Da Souza, Romy Coccia Di Ferro;Marylou Cabanel, Rodrigue Toledo, Salomé Da Souza;2023;NULL;;;;;https://www.france.tv/films/6821674-boucan.html;2025-01-08 06:00:00;2025-07-01 23:59:00;https://medias.france.tv/4PN_4RLzBHZgYqjYhUKUlC6-Yvo/1800x0/filters:quality(85):format(webp)/d/0/c/f1cafb65519440cdbf53efaa7198ab655b3c1f51deca039dbd8509455b946c0d.jpg
6827122;Avis de mistral;Adolescents parisiens pur jus, Léa, Adrien et leur petit frčre Théo, sourd-muet de naissance, se rendent en Provence, chez leur grand-pčre Paul, un homme bourru qui aime la tranquillité. Alors que leur pčre vient de quitter le foyer, les enfants pensent qu'ils vont passer le pire été de leur vie. Le choc des générations est inévitable, mais finalement, tout ce petit monde finit par s'apprivoiser. Les anciens amis de Paul, ex-hippies des années 1970, contribuent ą cette réconciliation en révélant une autre facette du patriarche, trčs peace and love. De son cōté, Léa tombe amoureuse d'un gadjo beau parleur. La jeune fille pense avoir trouvé l'amour de sa vie...;Adolescents parisiens pur jus, Léa, Adrien et leur petit frčre Théo, sourd-muet de naissance, se rendent en Provence, chez leur grand-pčre Paul, un homme bourru qui aime la tranquillité. Alors que leur pčre vient de quitter le foyer, les enfants pensent qu'ils vont passer le pire été de leur vie. Le choc des générations est inévitable, mais finalement, tout ce petit monde finit par s'apprivoiser. Les anciens amis de Paul, ex-hippies des années 1970, contribuent ą cette réconciliation en révélant une autre facette du patriarche, trčs peace and love. De son cōté, Léa tombe amoureuse d'un gadjo beau parleur. La jeune fille pense avoir trouvé l'amour de sa vie...;Rose Bosch;Rose Bosch;Jean Reno, Anna Galiena, Chloé Jouannet;2014;NULL;;;;;https://www.france.tv/films/6827122-avis-de-mistral.html;2025-01-09 06:00:00;2025-02-28 23:59:00;https://medias.france.tv/7771THcefoG7aar_mrX4Gea-vi8/1800x0/filters:quality(85):format(webp)/5/b/2/eba4fc5aa5c34463866b7c656ade5a5c2feb22950126749f78e5615ec8f822b5.jpg
6832837;Gemma Bovery;Martin est un ex-bobo parisien reconverti plus ou moins volontairement en boulanger d'un village normand. De ses ambitions de jeunesse, il lui reste une forte capacité d'imagination, et une passion toujours vive pour la grande littérature, celle de Gustave Flaubert en particulier. On devine son émoi lorsqu'un couple d'Anglais, aux noms étrangement familiers, viennent s'installer dans une fermette du voisinage. Non seulement les nouveaux venus s'appellent Gemma et Charles Bovery, mais encore leurs comportements semblent źtre inspirés par les héros de Flaubert. Pour le créateur qui sommeille en Martin, l'occasion est trop belle de pétrir - outre sa farine quotidienne - le destin de personnages en chair et en os. Mais la jolie Gemma Bovery, elle, n'a pas lu ses classiques, et entend bien vivre sa propre vie...;Martin est un ex-bobo parisien reconverti plus ou moins volontairement en boulanger d'un village normand. De ses ambitions de jeunesse, il lui reste une forte capacité d'imagination, et une passion toujours vive pour la grande littérature, celle de Gustave Flaubert en particulier. On devine son émoi lorsqu'un couple d'Anglais, aux noms étrangement familiers, viennent s'installer dans une fermette du voisinage. Non seulement les nouveaux venus s'appellent Gemma et Charles Bovery, mais encore leurs comportements semblent źtre inspirés par les héros de Flaubert. Pour le créateur qui sommeille en Martin, l'occasion est trop belle de pétrir - outre sa farine quotidienne - le destin de personnages en chair et en os. Mais la jolie Gemma Bovery, elle, n'a pas lu ses classiques, et entend bien vivre sa propre vie...;Anne Fontaine;Anne Fontaine, Pascal Bonitzer;Gemma Arterton, Fabrice Luchini, Jason Flemyng;2014;NULL;;;;;https://www.france.tv/films/6832837-gemma-bovery.html;2025-01-16 06:00:00;2025-02-28 23:59:00;https://medias.france.tv/hji-Odxja_AEK0oF2GJDiBZFKw8/1800x0/filters:quality(85):format(webp)/8/e/5/7dd3bc51363949f8b657c1ded7fd8c5580cf5bd60a884a5713754271993a65e8.jpg
351091;Noé;Noé, un pčre de famille, reēoit un message de Dieu au cours d'un rźve : la Terre s'apprźte ą subir un déluge apocalyptique, car l'homme a corrompu le monde ą force de violence et d'avidité. Il part alors avec sa femme et ses enfants sur le mont Ararat et entreprend la construction d'une arche monumentale pour mettre ą l'abri toutes les espčces existantes de l'humanité, sauver les innocents et préserver la vie sur Terre. Il accomplit ainsi son destin hors du commun. Mais il se heurte ą un seigneur de la guerre qui cherche ą régner sur ce monde dévasté, et qui lance une armée entičre contre lui...;Noé, un pčre de famille, reēoit un message de Dieu au cours d'un rźve : la Terre s'apprźte ą subir un déluge apocalyptique, car l'homme a corrompu le monde ą force de violence et d'avidité. Il part alors avec sa femme et ses enfants sur le mont Ararat et entreprend la construction d'une arche monumentale pour mettre ą l'abri toutes les espčces existantes de l'humanité, sauver les innocents et préserver la vie sur Terre. Il accomplit ainsi son destin hors du commun. Mais il se heurte ą un seigneur de la guerre qui cherche ą régner sur ce monde dévasté, et qui lance une armée entičre contre lui...;Darren Aronofsky;NULL;Russell Crowe, Emma Watson, Logan Lerman, Jennifer Connelly, Anthony Hopkins, Kevin Durand, Douglas Booth, Dakota Goyo;2014;Paramount Pictures / Regency Enterprises / New Regency Productions / Protozoa Pictures / Disruption Entertainment / FortyFour Studios;Darren Aronofsky, Ari Handel;Anglais;NULL;États-Unis d'Amérique;https://www.france.tv/films/351091-noe.html;2025-01-02 06:00:00;2025-04-01 23:59:00;https://medias.france.tv/lsa934gklOj8wCuvlvjFdMcoYFg/1800x0/filters:quality(85):format(webp)/e/f/y/phpfgayfe.jpg
6802669;Le secret de la pyramide;Londres, en 1870. John Watson, fils d'un médecin de campagne fraīchement débarqué de ses solitudes provinciales, découvre les couloirs et les brumes de son nouveau collčge. Il se retrouve nez ą nez avec un curieux hurluberlu, son nouveau condisciple, qui semble tout savoir de lui sans l'avoir pourtant jamais rencontré. Ainsi naīt une amitié. Watson découvre rapidement que son nouveau compagnon, Sherlock Holmes, se pique de résoudre les énigmes les plus extravagantes et qu'aiguillonné par son rival dans le coeur de la belle Elizabeth, Dudley, il se révčle fort capable de devancer la police dans la solution d'un curieux suicide. L'oncle d'Elizabeth venant ą mourir, victime d'une sarbacane, le trio reprend du service, en dépit des protestations de Watson, qui voudrait bien devenir médecin...;Londres, en 1870. John Watson, fils d'un médecin de campagne fraīchement débarqué de ses solitudes provinciales, découvre les couloirs et les brumes de son nouveau collčge. Il se retrouve nez ą nez avec un curieux hurluberlu, son nouveau condisciple, qui semble tout savoir de lui sans l'avoir pourtant jamais rencontré. Ainsi naīt une amitié. Watson découvre rapidement que son nouveau compagnon, Sherlock Holmes, se pique de résoudre les énigmes les plus extravagantes et qu'aiguillonné par son rival dans le coeur de la belle Elizabeth, Dudley, il se révčle fort capable de devancer la police dans la solution d'un curieux suicide. L'oncle d'Elizabeth venant ą mourir, victime d'une sarbacane, le trio reprend du service, en dépit des protestations de Watson, qui voudrait bien devenir médecin...;Barry Levinson;NULL;Nicholas Rowe, Alan Cox, Sophie Ward, Anthony Higgins, Susan Fleetwood, Freddie Jones, Nigel Stock, Roger Ashton-Griffiths;1985;Paramount Pictures / Amblin Entertainment / Industrial Light & Magic (ILM);Chris Columbus;Anglais;Academy of Science Fiction, Fantasy & Horror Films, USA 1986;États-Unis d'Amérique, Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;https://www.france.tv/films/films-suspense/6802669-le-secret-de-la-pyramide.html;2024-12-30 00:34:00;2025-03-29 23:59:00;https://medias.france.tv/vKKkptcLOGgWmqQan8NE0SHT59I/1800x0/filters:quality(85):format(webp)/s/k/v/phpfvtvks.jpg
2847931;Ad Astra;Roy McBride a choisi de marcher dans les pas de Clifford, son pčre, en devenant astronaute ą son tour. Clifford a disparu lors d'une mission dans l'espace. Tout le monde a conclu qu'il était mort, jusqu'au jour oł cette certitude est remise en cause par certains éléments. Roy est donc chargé de retrouver son pčre, qui aurait pris une voie dangereuse pour la survie de l'humanité. En effet, Clifford ferait des choses terribles sur Neptune. Roy doit réussir ą entrer en contact avec son pčre. Pour mener ą bien cette mission, il s'engage dans un voyage périlleux, physiquement et émotionnellement, qui l'emmčne aux confins de la galaxie...;Roy McBride a choisi de marcher dans les pas de Clifford, son pčre, en devenant astronaute ą son tour. Clifford a disparu lors d'une mission dans l'espace. Tout le monde a conclu qu'il était mort, jusqu'au jour oł cette certitude est remise en cause par certains éléments. Roy est donc chargé de retrouver son pčre, qui aurait pris une voie dangereuse pour la survie de l'humanité. En effet, Clifford ferait des choses terribles sur Neptune. Roy doit réussir ą entrer en contact avec son pčre. Pour mener ą bien cette mission, il s'engage dans un voyage périlleux, physiquement et émotionnellement, qui l'emmčne aux confins de la galaxie...;James Gray ;James Gray, Ethan Gross;Brad Pitt, Tommy Lee Jones, Ruth Negga;2019;NULL;NULL;NULL;NULL;États-Unis d'Amérique, Chine, Brésil;https://www.france.tv/films/2847931-ad-astra.html;2025-02-06 06:00:00;2025-05-06 23:59:00;https://medias.france.tv/blhoZJ2mtSFM3Wst85mdKq52Ris/1800x0/filters:quality(85):format(webp)/c/a/a/89b8424d324143a999bd7f4844fb75e525ad9156f16da751bac07d4880e91aac.jpg
